Program,Organization,min_funding,max_funding,Program_Eligibility,Use_of_Funds,Area,Website,Website_complete,Type_of_Fund,Targeted_Applicants,Phone,Zip_Code
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Connecticut,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(860) 871-4090,6902
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Connecticut,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(860) 871-4090,6902
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Connecticut,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(860) 871-4090,6902
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Connecticut,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(860) 871-4090,6902
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Connecticut,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(860) 871-4090,6902
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Connecticut,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(413) 253-4301,6902
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Connecticut,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(413) 253-4301,6902
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Connecticut,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(413)253-4301,6902
HEDCO Loan,Hartford Economic Development Corporation (HEDCO),0,150000,Small business and nonprofit organizations,Contact provider,Connecticut,www.hedcoinc.com,https://www.hedcoinc.com/financial-assistance,Loan,Not specified,(860) 527-1301,6902
Minority Business Revolving Loan Fund,Hartford Economic Development Corporation (HEDCO),10000,100000,"Minority-owned and women-owned for-profit businesses located and operated in the state of Connecticut, in operation and/or officially registered for at least 1 year",Contact provider,Connecticut,www.hedcoinc.com,https://www.hedcoinc.com/hedco-loan-programs,Loan - Revolving Loan Fund,"Minorities, Women",(860) 527-1301,6902
Manufacturing Innovation Fund,Connecticut Department of Economic and Community Development,0,400000,"Aerospace, medical device, or other corporate/nonprofit organizations specializing in technologically advanced commercial products or service",Contact provider,Connecticut,portal.ct.gov,https://portal.ct.gov/DECD/Content/Business-Development/05_Funding_Opportunities/Manufacturing-Innovation-Fund,Loan,Not specified,(860) 500-2300,6902
Economic and Manufacturing Assistance Act,Connecticut Department of Economic and Community Development (DECD),0,400000,Growing or relocating economic-based businesses,"Planning for feasibility studies, engineering, appraisals, market studies and related activities, real property acquisition, machinery and equipment, construction and renovation, demolition, site and infrastructure improvements, relocation expenses, working capital, business support services",Connecticut,portal.ct.gov,https://portal.ct.gov/DECD/Content/Business-Development/05_Funding_Opportunities/Manufacturing-Assistance-Act,Loan,Not specified,(860) 500-2300,6902
Small Business Express Program - Job Creation Loan Fund,Connecticut Department of Economic and Community Development (DECD),10000,300000,"Established small business employing not more than 100 employees, with operations in Connecticut or plans to relocate operations to Connecticut, registered to conduct business for at least 12 months, in good standing with the payment of all state and local taxes and with all state agencies, and creating jobs in economic-based industries including precision manufacturing, business services, green and sustainable technology, bioscience and information technology sectors","Machinery and equipment, construction, leasehold improvements, training, working capital, other business-related expenses approved by DECD's Commissioner",Connecticut,portal.ct.gov,https://portal.ct.gov/DECD/Content/Business-Development/05_Funding_Opportunities/Small-Business-Express,Loan,Not specified,(860) 500-2300,6902
Small Business Express Program - Revolving Loan Fund,Connecticut Department of Economic and Community Development (DECD),10000,100000,"Established small business employing not more than 100 employees, with operations in Connecticut or plans to relocate operations to Connecticut, registered to conduct business for at least 12 months, in good standing with the payment of all state and local taxes and with all state agencies, and creating jobs in economic-based industries including precision manufacturing, business services, green and sustainable technology, bioscience and information technology sectors","Machinery and equipment, construction, leasehold improvements, training, working capital, other business-related expenses approved by DECD's Commissioner",Connecticut,portal.ct.gov,https://portal.ct.gov/DECD/Content/Business-Development/05_Funding_Opportunities/Small-Business-Express,Loan - Revolving Loan Fund,Not specified,(860) 500-2300,6902
BUILT 50-40 Loan Program,Cook County Bureau of Economic Development (CCBED),70000,500000,The company must be in business at least 3 years and have proof of credit via a formal bank commitment for the 1st mortgage financing,"Acquisition, site preparation, construction/rehabilitation, machinery and equipment, infrastructure improvements, soft costs",Cook County,www.cookcountyil.gov,https://www.cookcountyil.gov/service/economic-development-division,Loan,Not specified,(312) 603-1051,60629
BUILT in Cook County Loan Program,Cook County Bureau of Economic Development (CCBED),500000,5000000,The company must be in business at least 3 years and have proof of credit via a formal bank commitment for the 1st mortgage financing,"Acquisition, site preparation, construction/rehabilitation, machinery and equipment, infrastructure improvements, soft costs",Cook County,www.cookcountyil.gov,https://www.cookcountyil.gov/service/economic-development-division,Loan,Not specified,(312) 603-1051,60629
Minority Business Enterprise Micro-Loan Program,Southern Mississippi Planning and Development District,2000,35000,Small businesses,"All project costs associated with creation or expansion of minority-owned businesses, including fixed assets, working capital, start-up costs, rental payments, interest expenses during construction, professional fees","Covington, Forrest, George, Greene, Hancock, Harrison, Jackson, Jefferson Davis, Jones, Lamar, Marion, Pearl River, Perry, Stone, Wayne counties",smpdd.com,http://smpdd.com/economic-workforce-development/business-loan-programs/,Loan - Microloan,"Minorities, Women",(228) 868-2311,39503
Minority Business Enterprise Loan Program,Southern Mississippi Planning and Development District,15000,250000,Minority-owned and women-owned businesses,"Land, building, furniture, fixtures, and equipment (FF&E), inventory, working capital","Covington, Forrest, George, Greene, Hancock, Harrison, Jackson, Jefferson Davis, Jones, Lamar, Marion, Pearl River, Perry, Stone, Wayne counties",smpdd.com,http://smpdd.com/economic-workforce-development/business-loan-programs/,Loan,"Minorities, Women",(228) 868-2311,39503
Revolving Loan Program,Southern Mississippi Planning and Development District,0,500000,"Small, for-profit businesses","Land, building, furniture, fixtures, and equipment (FF&E), inventory, working capital","Covington, Forrest, George, Greene, Hancock, Harrison, Jackson, Jefferson Davis, Jones, Lamar, Marion, Pearl River, Perry, Stone, Wayne counties",smpdd.com,http://smpdd.com/economic-workforce-development/business-loan-programs/,Loan - Revolving Loan Fund,Not specified,(228) 868-2311,39503
Minority Business Enterprise Micro-Loan Program,Southern Mississippi Planning and Development District,2000,35000,Small businesses,"All project costs associated with creation or expansion of minority-owned businesses, including fixed assets, working capital, start-up costs, rental payments, interest expenses during construction, professional fees","Covington, Forrest, George, Greene, Hancock, Harrison, Jackson, Jefferson Davis, Jones, Lamar, Marion, Pearl River, Perry, Stone, Wayne counties",smpdd.com,http://smpdd.com/economic-workforce-development/business-loan-programs/,Loan - Microloan,"Minorities, Women",(601) 545-2137,39503
Minority Business Enterprise Loan Program,Southern Mississippi Planning and Development District,15000,250000,Minority-owned and women-owned businesses,"Land, building, furniture, fixtures, and equipment (FF&E), inventory, working capital","Covington, Forrest, George, Greene, Hancock, Harrison, Jackson, Jefferson Davis, Jones, Lamar, Marion, Pearl River, Perry, Stone, Wayne counties",smpdd.com,http://smpdd.com/economic-workforce-development/business-loan-programs/,Loan,"Minorities, Women",(601) 545-2137,39503
Revolving Loan Program,Southern Mississippi Planning and Development District,0,500000,"Small, for-profit businesses","Land, building, furniture, fixtures, and equipment (FF&E), inventory, working capital","Covington, Forrest, George, Greene, Hancock, Harrison, Jackson, Jefferson Davis, Jones, Lamar, Marion, Pearl River, Perry, Stone, Wayne counties",smpdd.com,http://smpdd.com/economic-workforce-development/business-loan-programs/,Loan - Revolving Loan Fund,Not specified,(601) 545-2137,39503
Business Loan Program,Madison Development Corporation,0,200000,Startups and growing business in Dane County,"Working capital, inventory, equipment, leasehold improvements, real estate",Dane County,www.mdcorp.org,https://www.mdcorp.org/businessloanprogram,Loan,Not specified,(608) 455-0320,53703
Venture Debt Program,Madison Development Corporation,0,400000,High tech companies in Dane county,Contact provider,Dane County,www.mdcorp.org,https://www.mdcorp.org/venture-financing,Loan,Not specified,(608) 455-0320,53703
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Delaware,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(302) 678-4250,19720
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Delaware,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(302) 678-4250,19720
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Delaware,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(302) 678-4250,19720
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Delaware,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(302) 678-4250,19720
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Delaware,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(302) 678-4250,19720
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Delaware,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(302) 678-4250,19720
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Delaware,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(302) 678-4250,19720
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Delaware,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(302) 857-3580,19720
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Delaware,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(302) 857-3580,19720
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Delaware,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(302) 857-3580,19720
Delaware Strategic Fund - Grant,Delaware Division of Small Business,0,400000,Businesses retaining or expanding jobs,"Working capital, renovation, construction, land and building acquisition, machinery and equipment, expansion or renovation of existing building, renovation of machinery and equipment, relocation expenses",Delaware,business.delaware.gov,https://business.delaware.gov/incentives/,Grant,Not specified,(302) 739-4271,19720
Delaware Strategic Fund - Loan,Delaware Division of Small Business,0,400000,Businesses retaining or expanding jobs,"Working capital, renovation, construction, land and building acquisition, machinery and equipment, expansion or renovation of existing building, renovation of machinery and equipment, relocation expenses",Delaware,business.delaware.gov,https://business.delaware.gov/incentives/,Loan,Not specified,(302) 739-4271,19720
Delaware Technical Innovation Program,Delaware Division of Small Business,0,400000,Companies that have completed Phase I and applied for Phase II of the federal Small Business Innovation Research or Small Business Technology Transfer programs,New products to market,Delaware,business.delaware.gov,https://business.delaware.gov/incentives/,Grant,Not specified,(302) 739-4271,19720
EDGE Grant,Delaware Division of Small Business,50000,100000,Young Delaware small businesses,Contact provider,Delaware,business.delaware.gov,https://business.delaware.gov/incentives/,Grant,Not specified,(302) 739-4271,19720
Workforce Training Grant,Delaware Division of Small Business,0,100000,Training companies,Training programs,Delaware,business.delaware.gov,https://business.delaware.gov/incentives/,Grant,Not specified,(302) 739-4271,19720
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",District of Columbia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(202) 720-4671,20011
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",District of Columbia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(202) 720-4671,20011
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",District of Columbia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(202) 720-4671,20011
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",District of Columbia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(202) 720-4671,20011
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",District of Columbia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(202) 720-4671,20011
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,District of Columbia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(202) 720-4671,20011
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",District of Columbia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(202) 720-4671,20011
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",District of Columbia,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(202) 690-4730,20011
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",District of Columbia,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(202) 690-4730,20011
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",District of Columbia,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(202) 690-4730,20011
Small Business Loan Program,Montana West Economic Development,25000,500000,"Small businesses in Flathead, Lincoln, Lake, and Sanders counties","Property acquisition, construction, equipment, working capital","Flathead, Lincoln, Lake, and Sanders counties",dobusinessinmontana.com,https://dobusinessinmontana.com/business-loans/,Loan,Not specified,(406) 257-7711,59901
COVID-19 Emergency Stabilization Loan Program,Montana West Economic Development,0,5000,Small businesses impacted by the COVID-19 emergency,"Working capital, accounts payable, overhead costs, payroll only","Flathead, Lincoln, Lake, Sanders counties",dobusinessinmontana.com,https://dobusinessinmontana.com/business-loans/,COVID-19 Specific Loan,Not specified,(406) 257-7711,59901
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Florida,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(352) 379-4500,33012
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Florida,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(352) 379-4500,33012
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Florida,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(352) 379-4500,33012
Direct Operating Loan,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Florida,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(352) 379-4500,33012
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Florida,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(352) 379-4500,33012
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Florida,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(352) 379-4500,33012
Direct Emergency Farm Loan,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Florida,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(352) 379-4500,33012
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Florida,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(352) 338-3400,33012
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Florida,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(352) 338-3400,33012
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Florida,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(352) 338-3400,33012
Rebuild Florida Business Loan Fund,Florida Department of Economic Opportunity,25000,400000,Small businesses in Florida,"Real estate, furniture, fixtures, equipment, renovation, improvement, construction",Florida,deosera.force.com,https://deosera.force.com/RebuildFloridaBusinessLoanFund/s/loan-programs?program=florida-resiliency-loan,Loan,Not specified,(833) 989-2763,33012
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Georgia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(706) 546-2266,30043
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Georgia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(706) 546-2266,30043
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Georgia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(706) 546-2266,30043
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Georgia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(706) 546-2266,30043
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Georgia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(706) 546-2266,30043
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Georgia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(706) 546-2266,30043
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Georgia,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(706) 546-2266,30043
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Georgia,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(706) 546-2162,30043
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Georgia,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(706) 546-2162,30043
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Georgia,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(706) 546-2162,30043
Agribusiness Loans,Georgia Development Authority,0,1200000,Full or part-time farmers in Georgia,Agricultural business activities,Georgia,www.gdaonline.com,http://www.gdaonline.com/Content/Default/2/2/0/available-loans/available-loans.html,Loan,Not specified,(770) 207-4250,30043
Land and Equipment Loans,Georgia Development Authority,0,1200000,Full or part-time farmers in Georgia,"Heards, farm ponds, permanent pastures, irrigation equipment, wells, machinery and equipment, farm buildings, specialized buildings for dairy, poultry, swine, beef",Georgia,www.gdaonline.com,http://www.gdaonline.com/Content/Default/2/2/0/available-loans/available-loans.html,Loan,Not specified,(770) 207-4250,30043
Temple Small Business Relief Grant,Temple Chamber of Commerce,1000,5000,"For-profit, small business, locally owned","Bridge or gap financing, inventory and supplies, payroll, utilities, COVID-19 practices implemented","Greater Temple Texas community, central Texas",www.templechamber.com,https://www.templechamber.com/,COVID-19 Specific Grant,Not specified,(254) 773-2105,78701
